Zespół zgłaszający potrzebę,Projekt,Cel biznesowy,KPI,Opis problemu,Opis badania,Korzyść dla Banku/Obszaru/Zespołu,TAI - refined_zadania,TAI - tagi,TAI - uwagi,TAI - tok myslenia,Dodatkowe
ZRKiWS,Automatyczne kodowanie rozmów w celu faktycznego określenia tematu rozmowy,Oszczędność czasu,AHT,"Na podstawie tego, o czym była rozmowa narzędzie określa kod rozmowy",Jak automatycznie przypisać do transkrypcji właściwy kod tematu (jedno- lub wieloetykietowy) na podstawie słownika/katalogu tematów?,"Uwolnienie czasu doradcy, eliminacja błędów w kodowaniu (poprawne kodowanie rozmowy)",Jak automatycznie przypisać do transkrypcji właściwy kod tematu (jedno- lub wieloetykietowy) na podstawie słownika/katalogu tematów?,"service, kategoryzacja-rozmow, multi-label-klasyfikacja, frazy-ekstrakcja, baza-wektorowa-tematy, retrieval+reranking, thresholding, human-in-the-loop, scoring-jakosci",wieloetapowe:3-4,"1) Zdefiniować taksonomię tematów; 2) Zbudować wektorową bazę tematów i przykładów; 3) Klasyfikacja (multi-label) z retrieval+reranking; 4) Kalibracja progów, ewaluacja i pętla HIL.","do pogadania z zespołem Patryka/Ewy - co oni mają gdzie się przecinamy. jakim sposobem klasyfikują tą rozmowę - czy robią odwołania do jakiejś bazy produktowej (wektorwej), czy mają listę kodów rozmów, czy robią nowe kody na podstawie rozmów, czy wymyślili nowe kody z pomocą podsumowań llm"
ZRKiWS,Ocena jakości propozycji sprzedażowych doradców,Wzrost sprzedaży,SC,"Czy doradca powiedział o ofercie kredytu wyłącznie kierując klienta do zakładki Oferta czy jednak zaproponował dany produkt mowiąc o nim szerzej (wówczas stwierdzamy że mamy do czynienia z efektywnym i jakościowym ofertowaniem i takim, które ma większą szansę na przełożenie się na sprzedaż)","Jak odróżnić ""puste"" odesłanie do zakładki Oferta od jakościowego ofertowania (język korzyści, obiekcje, CTA) i ocenić jego jakość?","chcemy na bieżąco weryfikować jakość propozycji doradców, wyodrębnimy doradców, którzy potrzebują doszkolenia","Jak odróżnić ""puste"" odesłanie do zakładki Oferta od jakościowego ofertowania (język korzyści, obiekcje, CTA) i ocenić jego jakość?","ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, llm-ocena-argumentow, scoring-oferty",wieloetapowe:3,"1) Binary: czy było ofertowanie; 2) Ekstrakcja i klasteryzacja argumentów; 3) LLM/klasyfikator oceny jakości (skala), walidacja vs sprzedaż.",ekstrakcja fraz i llm ocena jakości jest opcjonalne dla mnie - ale fajny dodatek
ZRKiWS,Weryfikacja wykorzystywania szans sprzedażowych w rozmowach,Wzrost sprzedaży,Ofertowanie,"Wykrywanie fraz z poziomu tego, co powiedział doraca. Aktywne słuchanie - parafrazy - ""Wspominał Pan o tym…"", "" Idealne rozwiązanie dla Pana to…"", "" Na podstawie tego co Pan powiedział najlepszym produktem będzie…""","Czy doradca wykorzystuje aktywne słuchanie i parafrazuje wypowiedzi klienta, aby dopasować ofertę do jego potrzeb?","działanie w celu podniesienia sprzedaży, weryfikacja wykorzystywania szans sprzedażowych w rozmowach","Czy doradca wykorzystuje aktywne słuchanie i parafrazuje wypowiedzi klienta, aby dopasować ofertę do jego potrzeb?","aktywne-słuchanie, frazy-binary, frazy-ekstrakcja, pair-classification-agent-client, opportunity-detection, service-to-sales",wieloetapowe:3,1) Detekcja parafrazy/odniesień do wypowiedzi klienta; 2) Detekcja szans (słowa kluczowe klienta); 3) Powiązanie i scoring wykorzystania szans.,
ZRKiWS,Mierzalność szkolenia sprzedażowego Kredyt gotówkowy,Wzrost sprzedaży,Realizacja celu na KG,"Czy doradca proponuje większą kwotę niż podana przez klienta - czyli np. czy w rozmowie doradca użył sformułowań: ""Może przyda się większa kwota, zawsze można wcześniej nadpłacić a nie będzie trzeba kolejny raz wnioskować""",Czy doradca proponuje klientowi większą kwotę kredytu niż początkowo wskazana przez klienta?,"zwiększenie realizacji planów sprzedażowych - volumen kredytu, ocena skuteczności szkolenia ( po szkoleniu), weryfikacja osób które potrzebują doszkolenia",Czy doradca proponuje klientowi większą kwotę kredytu niż początkowo wskazana przez klienta?,"kredyt-got, ofertowanie, frazy-binary, frazy-ekstrakcja, llm-ocena-argumentacji, szkolenie-skutecznosc",wieloetapowe:2-3,1) Binary: czy padła propozycja wyższej kwoty; 2) Ekstrakcja argumentów; 3) Ocena jakości argumentacji vs efekt/sprzedaż.,
ZRKiWS,Dashboard doradcy,Wzrost sprzedaży,"SC, E2E","Weryfikacja ile % rozmów doradcy jest w jakich tematach, ile % miał szans sprzedażowych, ile % finalizacji, szacowanie ile przepadło i jakie plany",Jaki jest rozkład tematyczny rozmów doradcy i jaki procent stanowią szanse sprzedażowe oraz finalizacje?,"Dokładna analiza potencjału rozmów doradców, dashbord pozwoliłby na stały dostęp do śledzenia swoich wyników i wyciąganie wniosków",Jaki jest rozkład tematyczny rozmów doradcy i jaki procent stanowią szanse sprzedażowe oraz finalizacje?,"dashboard, agregacja-metryk, kategoryzacja-rozmow, opportunity-detection, finalizacja-binary, join-z-crm, scoring-doradcy",wieloetapowe:4 (zależne),"1) Zależności: klasyfikacja tematów, szanse, finalizacja; 2) Agregacja per doradca; 3) Dashboard/raport; 4) Walidacja vs KPI sprzedażowe.",
ZRKiWS,S2S - dopasowanie sprzedaży do potrzeb klienta,Wzrost sprzedaży,Ofertowanie,"Wykrywanie fraz z poziomu tego, co powiedział klient. Słowa klienta, na podstawie których można dopasować produkt - np. klient wspomniał że posiada samochód zatem czy doradca zaproponował ubezpieczenie motor oraz czy odnotował w systemie datę końca polisy.",Czy doradca identyfikuje potrzeby klienta na podstawie jego wypowiedzi i dopasowuje do nich odpowiednie produkty?,"Działanie w celu podniesienia sprzedaży, weryfikacja wykorzystywania szans sprzedażowych w rozmowach, ocena aktualnego działania i ewentualna prognoza nowych szkoleń",Czy doradca identyfikuje potrzeby klienta na podstawie jego wypowiedzi i dopasowuje do nich odpowiednie produkty?,"cross-sell, need-to-product-mapping, frazy-klient-ekstrakcja, baza-wektorowa-produktow, retrieval+reranking, rekomendacje, compliance-odnotowanie",wieloetapowe:4,1) Ekstrakcja potrzeb klienta; 2) Retrieval produktów (wektor+reranking); 3) Detekcja reakcji doradcy (czy zaproponował); 4) Audyt zapisu w systemie.,"Jeśli ucieknie szansa sprzedażowa - nie wychwyci jeden doradca, to potencjalne szanse sprzedażowe powinny się odkładac w bazie wektorowej na potrzeby kolejnych kampanii - aby doradcy mogli je wykorzystać"
ZRKiWS,Sentyment rozmowy,NPS,NPS,"W jaki sposób zmieniała się rozmowa np. rozpoczynała się pozytywnie, a kończyła negatywnie",Jak zmienia się sentyment rozmowy w czasie jej trwania i jakie czynniki wpływają na te zmiany?,"Analiza tonacji i słownictwa klienta/doradcy, np. flustracja, niezadowolenie. Wzrost NPS i retencji",Jak zmienia się sentyment rozmowy w czasie jej trwania i jakie czynniki wpływają na te zmiany?,"nps, sentyment-czasowy, segmentacja-rozmowy, diarization-tekstowa, frazy-emocje, timeline-analiza",wieloetapowe:3,1) Segmentacja transkrypcji; 2) Klient vs doradca; 3) Sentyment/emocje per segment i trend.,
ZRKiWS,Propozycja finalizacji zdalnej,Wzrost sprzedaży,"SC, E2E",Wykrywanie fraz dotyczących propozycji wspólnego przejścia założenia produktu w bankowości elektronicznej,Czy doradca zaproponował asystę digital i wspólne przejście procesu zdalnego?,"Digitalizacja selfservice,",Czy doradca zaproponował asystę digital i wspólne przejście procesu zdalnego?,"self-service, asysta-digital, frazy-binary, finalizacja-zdalna",,Binary detekcja fraz asysty digital i CTA do przejścia procesu; raport udziału.,
ZRKiWS,Oferty specjalne/Promocje,Wzrost sprzedaży,"SC, E2E","najlepsze rozwiązania i promocje, które dzieją się w Banku",Jak wykrywać odniesienia do ofert/promocji i mierzyć ich użycie per temat/produkt?,"Pozwoli na stałą weryfikację wykorzystywania ofert specjalnych w Banku, wyodrębnimy doradców, którzy nie mają skłonności do propozycji dodatkowych opcji dla klientów",Jak wykrywać odniesienia do ofert/promocji i mierzyć ich użycie per temat/produkt?,"promocje, frazy-binary, frazy-ekstrakcja, baza-wektorowa-promocji, retrieval+reranking",wieloetapowe:3,1) Słownik/wektorowa baza promocji; 2) Detekcja i ekstrakcja; 3) Agregacja vs sprzedaż.,"potencjał do mierzenia nie tylko per doradx, ale również per produkt - czym mamy wystarczającą ilość proponowania danego produktu/rpomocji (w np. wybranych grupach, z podziałem na segmenty), i porównywać przy jakiej ilości propozycji obserwujemy wystarczającą sprzedaż"
ZRKiWS,Weryfikacja jakie propozycje są najbardziej skuteczne per produkt,Wzrost sprzedaży,SC,"Wykrywa nazwę produktu lub kategorię np. polecenie konkretnej karty oraz użytej propozycji sprzedażowej, porównujemy z raportem sprzedażowym czy była sprzedaż",Które frazy/oferty dla danego produktu korelują ze sprzedażą?,"weryfikacja skuteczności poleceń na dany produkt, poprawa skryptów rozmowy, materiałów wspierajacych",Które frazy/oferty dla danego produktu korelują ze sprzedażą?,"produkt-ner, baza-wektorowa, frazy-ekstrakcja, frazy-clustering, join-z-crm, uplift-analiza",wieloetapowe:4,1) NER produktów; 2) Ekstrakcja/klastry fraz; 3) Połączenie ze sprzedażą; 4) Ranking skuteczności.,"raczej przez bazę wektorową, ale można spróbować ner; opcjonalny krok - generowanie lepszych komunikatów sprzedażowych przez llm - podpowiedzi"
